date;datetime;cash_type;card;money;coffee_name
01/03/2024;10:15:51;card;ANON-0000-0000-0001;38,7;Latte
01/03/2024;12:19:23;card;ANON-0000-0000-0002;38,7;Hot Chocolate
01/03/2024;12:20:18;card;ANON-0000-0000-0002;38,7;Hot Chocolate
01/03/2024;13:46:33;card;ANON-0000-0000-0003;28,9;Americano
01/03/2024;13:48:15;card;ANON-0000-0000-0004;38,7;Latte
01/03/2024;15:39:48;card;ANON-0000-0000-0005;33,8;Americano with Milk
01/03/2024;16:19:03;card;ANON-0000-0000-0006;38,7;Hot Chocolate
01/03/2024;18:39:04;card;ANON-0000-0000-0007;33,8;Americano with Milk
01/03/2024;19:22:02;card;ANON-0000-0000-0008;38,7;Cocoa
01/03/2024;19:23:16;card;ANON-0000-0000-0008;33,8;Americano with Milk
01/03/2024;19:29:17;card;ANON-0000-0000-0009;33,8;Americano with Milk
02/03/2024;10:22:07;card;ANON-0000-0000-0010;28,9;Americano
02/03/2024;10:30:36;cash;;40;Latte
02/03/2024;10:41:41;card;ANON-0000-0000-0011;33,8;Americano with Milk
02/03/2024;11:59:45;card;ANON-0000-0000-0012;33,8;Americano with Milk
02/03/2024;14:38:36;card;ANON-0000-0000-0013;28,9;Americano
02/03/2024;16:37:24;card;ANON-0000-0000-0014;33,8;Americano with Milk
02/03/2024;17:34:55;card;ANON-0000-0000-0004;28,9;Americano
03/03/2024;10:10:44;cash;;40;Latte
03/03/2024;10:27:19;card;ANON-0000-0000-0015;38,7;Latte
03/03/2024;11:33:56;card;ANON-0000-0000-0016;28,9;Cortado
03/03/2024;12:26:56;card;ANON-0000-0000-0012;28,9;Americano
03/03/2024;13:09:36;card;ANON-0000-0000-0017;38,7;Hot Chocolate
03/03/2024;17:06:40;card;ANON-0000-0000-0018;38,7;Cocoa
03/03/2024;17:08:46;card;ANON-0000-0000-0019;28,9;Cortado
03/03/2024;18:03:23;card;ANON-0000-0000-0020;33,8;Americano with Milk
03/03/2024;18:04:28;card;ANON-0000-0000-0020;33,8;Americano with Milk
03/03/2024;18:08:05;card;ANON-0000-0000-0020;38,7;Hot Chocolate
04/03/2024;10:03:52;card;ANON-0000-0000-0001;38,7;Latte
04/03/2024;10:54:51;card;ANON-0000-0000-0021;38,7;Latte
04/03/2024;11:05:16;card;ANON-0000-0000-0012;33,8;Americano with Milk
04/03/2024;14:04:38;card;ANON-0000-0000-0022;24;Espresso
05/03/2024;09:59:53;card;ANON-0000-0000-0001;38,7;Latte
05/03/2024;14:34:56;card;ANON-0000-0000-0023;38,7;Latte
05/03/2024;17:34:06;card;ANON-0000-0000-0024;38,7;Latte
05/03/2024;17:35:25;card;ANON-0000-0000-0025;38,7;Hot Chocolate
05/03/2024;17:36:29;card;ANON-0000-0000-0026;38,7;Cocoa
05/03/2024;17:37:14;card;ANON-0000-0000-0027;38,7;Hot Chocolate
05/03/2024;17:38:09;card;ANON-0000-0000-0009;38,7;Hot Chocolate
05/03/2024;17:56:16;card;ANON-0000-0000-0028;28,9;Cortado
05/03/2024;18:01:31;card;ANON-0000-0000-0028;38,7;Hot Chocolate
06/03/2024;12:30:27;cash;;35;Americano with Milk
06/03/2024;13:24:08;card;ANON-0000-0000-0012;28,9;Americano
06/03/2024;13:25:14;card;ANON-0000-0000-0012;28,9;Cortado
06/03/2024;14:52:02;card;ANON-0000-0000-0029;38,7;Cappuccino
06/03/2024;14:53:18;card;ANON-0000-0000-0029;38,7;Cappuccino
07/03/2024;10:08:59;cash;;40;Latte
07/03/2024;10:18:41;card;ANON-0000-0000-0030;38,7;Hot Chocolate
07/03/2024;11:03:59;card;ANON-0000-0000-0031;38,7;Latte
07/03/2024;11:25:44;cash;;40;Latte
07/03/2024;15:40:23;card;ANON-0000-0000-0032;28,9;Americano
07/03/2024;15:41:29;card;ANON-0000-0000-0033;33,8;Americano with Milk
08/03/2024;10:34:41;card;ANON-0000-0000-0012;28,9;Cortado
08/03/2024;12:22:29;card;ANON-0000-0000-0034;38,7;Cappuccino
08/03/2024;13:53:02;card;ANON-0000-0000-0035;28,9;Americano
08/03/2024;14:44:13;card;ANON-0000-0000-0012;28,9;Americano
08/03/2024;14:45:11;card;ANON-0000-0000-0033;28,9;Americano
08/03/2024;14:46:11;card;ANON-0000-0000-0012;33,8;Americano with Milk
08/03/2024;18:57:51;card;ANON-0000-0000-0036;38,7;Latte
08/03/2024;18:59:25;card;ANON-0000-0000-0037;38,7;Latte
09/03/2024;11:49:37;cash;;40;Hot Chocolate
09/03/2024;12:05:16;card;ANON-0000-0000-0038;24;Espresso
09/03/2024;12:07:38;card;ANON-0000-0000-0039;28,9;Americano
09/03/2024;12:09:48;card;ANON-0000-0000-0012;38,7;Cappuccino
09/03/2024;12:13:04;card;ANON-0000-0000-0040;28,9;Americano
09/03/2024;12:14:26;card;ANON-0000-0000-0040;28,9;Americano
09/03/2024;13:09:22;card;ANON-0000-0000-0041;38,7;Latte
09/03/2024;13:41:06;card;ANON-0000-0000-0042;33,8;Americano with Milk
09/03/2024;13:53:10;card;ANON-0000-0000-0043;28,9;Cortado
09/03/2024;13:54:37;card;ANON-0000-0000-0043;38,7;Cappuccino
09/03/2024;14:08:02;card;ANON-0000-0000-0009;33,8;Americano with Milk
09/03/2024;14:26:53;card;ANON-0000-0000-0044;38,7;Hot Chocolate
09/03/2024;19:17:58;card;ANON-0000-0000-0009;38,7;Cappuccino
09/03/2024;19:19:10;card;ANON-0000-0000-0009;38,7;Hot Chocolate
10/03/2024;07:44:19;cash;;30;Americano
10/03/2024;07:45:29;cash;;35;Americano with Milk
10/03/2024;10:06:03;cash;;40;Latte
10/03/2024;11:19:21;card;ANON-0000-0000-0045;24;Espresso
10/03/2024;17:51:03;cash;;35;Americano with Milk
10/03/2024;19:34:00;card;ANON-0000-0000-0046;38,7;Latte
10/03/2024;19:35:55;card;ANON-0000-0000-0046;28,9;Cortado
11/03/2024;10:18:47;cash;;40;Latte
11/03/2024;11:24:15;cash;;40;Cappuccino
11/03/2024;11:24:52;cash;;30;Cortado
11/03/2024;11:26:44;cash;;30;Americano
11/03/2024;11:32:59;card;ANON-0000-0000-0035;38,7;Cappuccino
11/03/2024;16:24:26;card;ANON-0000-0000-0047;28,9;Americano
11/03/2024;16:25:46;card;ANON-0000-0000-0047;38,7;Latte
11/03/2024;16:50:50;card;ANON-0000-0000-0048;28,9;Cortado
12/03/2024;10:15:00;cash;;40;Latte
12/03/2024;10:15:35;card;ANON-0000-0000-0033;28,9;Americano
12/03/2024;10:16:25;card;ANON-0000-0000-0033;28,9;Cortado
12/03/2024;11:20:46;card;ANON-0000-0000-0049;38,7;Hot Chocolate
12/03/2024;12:46:23;card;ANON-0000-0000-0004;33,8;Americano with Milk
12/03/2024;12:47:26;card;ANON-0000-0000-0004;28,9;Americano
12/03/2024;16:15:43;card;ANON-0000-0000-0050;28,9;Americano
13/03/2024;11:06:43;card;ANON-0000-0000-0048;38,7;Hot Chocolate
13/03/2024;11:48:17;card;ANON-0000-0000-0004;28,9;Americano
13/03/2024;12:18:06;card;ANON-0000-0000-0051;28,9;Americano
13/03/2024;12:19:05;card;ANON-0000-0000-0051;28,9;Americano
13/03/2024;12:34:30;cash;;25;Espresso
13/03/2024;14:26:41;card;ANON-0000-0000-0052;33,8;Americano with Milk
13/03/2024;15:40:22;card;ANON-0000-0000-0053;24;Espresso
13/03/2024;15:41:20;card;ANON-0000-0000-0053;24;Espresso
13/03/2024;16:47:09;card;ANON-0000-0000-0054;24;Espresso
14/03/2024;10:02:12;cash;;40;Latte
14/03/2024;10:28:33;card;ANON-0000-0000-0055;38,7;Latte
14/03/2024;10:29:34;card;ANON-0000-0000-0055;38,7;Hot Chocolate
14/03/2024;13:27:30;card;ANON-0000-0000-0012;28,9;Cortado
14/03/2024;13:28:25;card;ANON-0000-0000-0012;28,9;Americano
14/03/2024;13:52:00;card;ANON-0000-0000-0056;33,8;Americano with Milk
14/03/2024;13:52:56;card;ANON-0000-0000-0057;24;Espresso
